stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN97710;Iškoras ;25.34600;69.30030;9.1;8.7;0.4;;;
SN98090;Berlevåg;29.04240;70.87315;10.7;10.4;0.3;;;
SN98360;Båtsfjord;29.69906;70.60363;10.0;9.8;0.2;;;
SN98400;Makkaur fyr;30.07000;70.70570;11.0;10.3;0.7;;;
SN98550;Vardø radio;31.09620;70.37070;10.5;10.1;0.4;27.0;55.0;49.1
SN98580;Vardø LH;31.05023;70.35129;10.6;9.9;0.7;;;
SN9870;Blanktjernmoen;10.42800;62.43430;;;;75.9;81.0;93.7
SN98790;Vadsø LH;29.83520;70.06530;11.2;10.2;1.0;;;
SN98978;Boazoaivi;28.96480;70.33570;8.4;7.7;0.7;;;
SN99340;Øvre Neiden;29.23210;69.70134;;;;23.3;72.0;32.4
SN99370;Kirkenes lufthavn;29.90570;69.72870;11.9;11.3;0.6;;;
SN99460;Svanvik;30.04100;69.45520;12.0;11.7;0.3;14.2;69.0;20.6
SN99500;Skogfoss;29.69201;69.37198;;;;21.4;67.0;31.9
SN99540;Nyrud;29.24272;69.14757;12.1;11.9;0.2;30.4;77.0;39.5
SN99710;Bjørnøya;18.99800;74.50350;5.6;5.7;-0.1;39.3;32.0;122.8
SN99720;Hopen;25.01330;76.50970;4.5;3.8;0.7;40.4;33.0;122.4
SN99735;Edgeøya;22.82250;78.25080;3.8;3.2;0.6;;;
SN99840;Svalbard LH;15.50150;78.24530;5.8;6.0;-0.2;24.9;23.0;108.3
SN99910;Ny-Ålesund;11.93250;78.92180;4.5;4.6;-0.1;71.5;38.0;188.2
SN99927;Verlegenhuken;16.24330;80.05550;3.4;2.9;0.5;;;
SN99950;Jan Mayen;-8.66900;70.93940;6.4;6.3;0.1;20.7;57.0;36.3
