stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN98090;Berlevåg;29.04240;70.87315;9.2;7.7;1.5;;;
SN98360;Båtsfjord;29.69906;70.60363;8.1;6.6;1.5;;;
SN98400;Makkaur fyr;30.07000;70.70570;9.4;7.8;1.6;;;
SN98550;Vardø radio;31.09620;70.37070;9.3;7.8;1.5;48.5;47.0;103.2
SN98580;Vardø LH;31.05023;70.35129;9.4;7.5;1.9;;;
SN9870;Blanktjernmoen;10.42800;62.43430;;;;38.6;41.0;94.1
SN98790;Vadsø LH;29.83520;70.06530;9.2;7.3;1.9;;;
SN98978;Boazoaivi;28.96480;70.33570;5.7;4.2;1.5;;;
SN99340;Øvre Neiden;29.23210;69.70134;;;;48.8;50.0;97.6
SN99370;Kirkenes lufthavn;29.90570;69.72870;9.1;7.3;1.8;;;
SN99460;Svanvik;30.04100;69.45520;9.3;7.3;2.0;62.0;43.0;144.2
SN99500;Skogfoss;29.69201;69.37198;;;;34.6;46.0;75.2
SN99540;Nyrud;29.24272;69.14757;9.2;7.1;2.1;52.6;39.0;134.9
SN99710;Bjørnøya;18.99800;74.50350;5.8;4.1;1.7;27.1;47.0;57.7
SN99720;Hopen;25.01330;76.50970;4.6;2.4;2.2;47.5;34.0;139.7
SN99735;Edgeøya;22.82250;78.25080;3.3;0.7;2.6;;;
SN99840;Svalbard LH;15.50150;78.24530;4.2;2.0;2.2;17.7;27.0;65.6
SN99910;Ny-Ålesund;11.93250;78.92180;2.8;1.2;1.6;41.4;59.0;70.2
SN99927;Verlegenhuken;16.24330;80.05550;1.9;0.2;1.7;;;
SN99950;Jan Mayen;-8.66900;70.93940;5.2;4.5;0.7;52.4;79.0;66.3
